user_id,content_id,action,timestamp,device,region,session_id
181,1007,pause,2025-02-27 18:57:59,tablet,US,c9e555fb
121,1009,play,2025-02-27 17:26:59,mobile,APAC,f71d7e15
112,1005,play,2025-02-27 20:13:59,desktop,APAC,f9a82270
176,1002,forward,2025-02-27 23:22:59,desktop,EU,d257ab9e
122,1001,play,2025-02-28 07:45:59,desktop,US,b932b87d
158,1009,skip,2025-02-28 16:20:59,mobile,APAC,8d73fdf4
101,1003,pause,2025-02-28 15:21:59,mobile,US,039f4742
105,1007,skip,2025-02-28 15:55:59,tablet,EU,43e0014c
178,1005,pause,2025-02-27 20:57:59,desktop,EU,84828f0a
130,1006,pause,2025-02-28 06:33:59,tablet,EU,5a8affaa
100,1006,forward,2025-02-28 12:08:59,tablet,EU,f7bdf08a
162,1004,skip,2025-02-27 19:37:59,mobile,EU,6e4e75ca
197,1007,pause,2025-02-28 05:23:59,desktop,EU,6d9065df
142,1000,play,2025-02-28 03:51:59,desktop,EU,2e304b9b
154,1006,play,2025-02-28 14:43:59,tablet,EU,219e93fd
144,1004,play,2025-02-28 12:45:59,tablet,APAC,2b7c6c98
187,1009,play,2025-02-28 16:11:59,mobile,US,39aa086a
101,1007,skip,2025-02-28 13:18:59,tablet,APAC,3942a72b
190,1007,play,2025-02-27 18:41:59,mobile,APAC,2fb414a0
158,1002,forward,2025-02-27 22:54:59,desktop,US,38f448f1
102,1009,play,2025-02-27 23:44:59,mobile,US,61f54833
141,1002,pause,2025-02-27 22:48:59,mobile,US,017606ee
155,1002,play,2025-02-28 13:39:59,tablet,EU,a803ad56
181,1003,skip,2025-02-28 01:23:59,desktop,APAC,53a181e3
171,1007,skip,2025-02-27 20:13:59,tablet,EU,780d74da
136,1002,pause,2025-03-01 14:19:59,desktop,US,15a7f82e
144,1010,play,2025-03-01 12:10:59,desktop,US,331ad63f
105,1007,forward,2025-03-01 10:43:59,tablet,US,45634f89
118,1004,skip,2025-03-01 14:51:59,desktop,EU,442c1e3f
102,1003,skip,2025-02-28 22:53:59,mobile,US,9d8c6d78
195,1004,skip,2025-03-01 03:24:59,tablet,EU,babd3735
143,1002,skip,2025-03-01 09:59:59,mobile,US,893d8a96
178,1004,play,2025-03-01 15:11:59,tablet,US,b446df07
104,1006,play,2025-03-01 01:23:59,tablet,US,0689c2c9
170,1003,play,2025-03-01 11:18:59,desktop,EU,ce90bb51
149,1001,skip,2025-03-01 08:49:59,tablet,APAC,82956182
177,1008,skip,2025-02-28 17:24:59,tablet,US,40e35b69
125,1009,pause,2025-02-28 18:21:59,tablet,APAC,869eff56
120,1004,pause,2025-03-01 01:43:59,mobile,APAC,b14bd2f9
185,1007,forward,2025-03-01 14:47:59,mobile,EU,1d860f06
123,1006,forward,2025-03-01 06:29:59,tablet,EU,bc9569e4
176,1008,forward,2025-03-01 05:51:59,tablet,APAC,2ce4f72a
112,1005,skip,2025-03-01 10:11:59,mobile,EU,019cc56d
154,1001,skip,2025-03-01 14:37:59,tablet,APAC,38f7036a
187,1008,pause,2025-03-01 00:42:59,tablet,APAC,d49d52e6
102,1006,play,2025-03-01 00:41:59,tablet,APAC,9f5a32d3
158,1002,play,2025-03-01 08:36:59,mobile,US,170d253a
193,1009,play,2025-03-01 06:20:59,desktop,US,65771657
117,1008,pause,2025-02-28 21:31:59,tablet,EU,2eee904d
112,1006,pause,2025-03-01 00:30:59,tablet,US,bd2c09b7
168,1009,play,2025-03-02 10:07:59,mobile,US,9c1ddd69
108,1008,forward,2025-03-02 15:34:59,desktop,APAC,cdb5438e
115,1000,pause,2025-03-01 19:24:59,tablet,EU,9618fa97
126,1005,pause,2025-03-02 10:47:59,mobile,APAC,e76d5205
113,1010,play,2025-03-01 19:57:59,tablet,APAC,19f8d2da
